Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes,Day Prior,Day After,1 Day Change,1 Day % Change,1 Day Result,1 Month,1 Month Change,1 Month % Change,1 Month Result,6 Months,6 Months Change,6 Months % Change,6 Months Result,1 Year,1 Year Change,1 Year % Change,1 Year Result,2 Years,2 Years Change,2 Years % Change,2 Years Result
Norilsk diesel fuel spill,"Russia, Norilsk, Krasnoyarsk Krai",2020-05-29 - 2020-05-29,"17,500","17,500",MMC NORILSK NICKEL PJSC,NILSY,diesel spill,31.60000038,32.15000153,0.55000115,1.740509947,L,27.20999908,-4.94000245,-15.36548123,L,,,,,,,,,,,,
Keystone Pipeline 2019 spill,"United States, Walsh County, North Dakota",2019-10-29 - 2019-10-29,"1,240","1,240",TC Energy Corporation,TRP,,48.23651123,47.74323654,-0.49327469,-1.022616846,L,48.31240463,0.56916809,1.192143917,L,44.52269745,-3.78970718,-7.844170062,L,39.66999817,-4.85269928,-10.89938292,L,,,,
Guarello Island iron ore export terminal diesel spill,"Chile, Guarello Island, Magallanes Region",2019-07-27 - 2019-07-27,35.4,35.4,CAP SA,CAP.SN,,7189.360352,7125.345703,-64.014649,-0.890408129,L,5485.580566,-1639.765137,-23.01313095,L,5121.188477,-364.392089,-6.642726045,L,5761.336914,640.148437,12.49999761,W,,,,
SeaRose FPSO production ship spill,"Canada, St. John's, Newfoundland and Labrador",2018-11-16 - 2018-11-16,219,219,HUSKY ENERGY INC.,HSE.TO,,16.16810417,15.28044415,-0.88766002,-5.490192361,L,13.46409035,-1.8163538,-11.88678668,L,12.54905796,-0.91503239,-6.796095141,L,9.06919384,-3.47986412,-27.73008246,L,,,,
Keystone Pipeline 2017 spill,"United States, Marshall County, South Dakota",2017-11-16 - 2017-11-16,"1,322","1,322",TC Energy Corporation,TRP,,40.63747787,40.91785049,0.28037262,0.689936076,L,39.61494446,-1.30290603,-3.184199596,L,36.35317993,-3.26176453,-8.233671849,L,36.00680923,-0.3463707,-0.952793403,L,48.79618835,12.78937912,35.5193348,W
East River insulating oil spill,"United States, New York",2017-05-07 - 2017-05-07,97,101,"Consolidated Edison, Inc.",ED,,70.37728119,69.49547577,-0.88180542,-1.252968863,L,74.50382996,5.00835419,7.206734157,W,77.42559814,2.92176818,3.921634876,L,69.55625916,-7.86933898,-10.16374322,L,79.4627533,9.90649414,14.24241939,W
"BP Clair production platform, North Sea","United Kingdom, Shetland, Clair platform",2016-10-02 - 2016-10-02,105,105,BP p.l.c.,BP,,27.17324829,27.57512856,0.40188027,1.478955573,L,26.28447723,-1.29065133,-4.680490708,L,27.53701019,1.25253296,4.765295307,L,32.04013062,4.50312043,16.35297514,W,41.15898132,9.1188507,28.46071637,W
North Battleford pipeline spill,"Canada, Saskatchewan, North Battleford",2016-07-21 - 2016-07-21,170,210,HUSKY ENERGY INC.,HSE.TO,,13.78944206,13.95913219,0.16969013,1.230580101,L,15.2005415,1.24140931,8.893169669,W,14.26278687,-0.93775463,-6.169218577,L,12.61055374,-1.65223313,-11.58422365,L,18.56831551,5.95776177,47.24425186,W
ConocoPhillips Canada pipeline spill,"Canada, Alberta, Grande Cache",2016-06-09 - 2016-06-09,323,323,ConocoPhillips,COP,,42.40163803,39.17844009,-3.22319794,-7.601588263,L,37.90164948,-1.27679061,-3.258911297,L,45.07926941,7.17761993,18.93748697,W,41.75642014,-3.32284927,-7.371124939,L,65.73927307,23.98285293,57.43512698,W
2016 Union Pacific oil train fire,"United States, Oregon, Mosier",2016-06-03 - 2016-06-03,152,152,Union Pacific Corporation,UNP,,77.03425598,79.07369995,2.03944397,2.647450727,L,79.3559494,0.28224945,0.356944787,L,95.24459839,15.88864899,20.02200101,W,102.6538696,7.40927121,7.779203582,W,136.1139832,33.4601136,32.59508261,W
Denbury Resources Bowman County Oil SPill,"United States, North Dakota Bowman County",2016-05-18 - 2016-05-18,44,44,Denbury Resources,DNR,,4.230000019,4.03000021,-0.199999809,-4.728127851,L,4.460000038,0.429999828,10.66997036,W,3.109999895,-1.350000143,-30.26906124,L,1.75,-1.359999895,-43.72990164,L,4.480000019,2.730000019,156.0000011,W
"Shell Gulf of Mexico oil spill, Brutus offshore platform","United States, Gulf of Mexico, near Louisiana",2016-05-12 - 2016-05-12,316,316,Royal Dutch Shell PLC Royal Dut,RDS-A,"RDS-B based in UK, so A series utilized",38.26762009,38.57769012,0.31007003,0.810267347,L,38.97321701,0.39552689,1.025273646,L,40.69703674,1.72381973,4.423088116,L,45.2943306,4.59729386,11.29638477,W,63.35646439,18.06213379,39.87725075,W
Keystone Pipeline 2016 spill,"United States, Menno, South Dakota",2016-04-02 - 2016-04-02,55,55,TC Energy Corporation,TRP,,28.51117516,28.30191231,-0.20926285,-0.733967817,L,30.3272171,2.02530479,7.156070473,W,36.89657593,6.56935883,21.66159463,W,36.83667755,-0.05989838,-0.162341297,L,33.93133545,-2.9053421,-7.887090512,L
Refugio oil spill,"United States, California, near Refugio State Beach",2015-05-19 - 2015-05-19,330,330,"Plains All American Pipeline, L",PAA,,31.85474205,30.61247635,-1.2422657,-3.899782638,L,28.6621933,-1.95028305,-6.370876461,L,17.9377861,-10.7244072,-37.41656156,L,17.8243866,-0.1133995,-0.632182251,L,21.47924614,3.65485954,20.50482646,W
Black Sea oil pipeline spill,"Russia, Tuapse, near Black Sea",2014-12-24 - 2014-12-24,unknown,unknown,TRANSNEFT PJSC,TRNFP.ME,,95134.59375,91927.64844,-3206.94531,-3.370956015,L,97854.71875,5927.07031,6.447538266,W,99910.25781,2055.53906,2.1006029,L,137980.5781,38070.32029,38.10451612,W,154158.8594,16178.2813,11.72504241,W
Mid-Valley Pipeline,"United States, Louisiana, Mooringsport",2014-10-13 - 2014-10-13,546,546,Sunoco LP,SUN,,24.63054466,24.86017418,0.22962952,0.932295746,L,24.86564827,0.00547409,0.022019516,L,27.11197281,2.24632454,9.033846677,W,21.14874268,-5.96323013,-21.99482189,L,18.04157639,-3.10716629,-14.69196697,L
Lake Michigan oil spill,"United States, Indiana, Whiting refinery",2014-03-24 - 2014-03-24,2,5,BP p.l.c.,BP,,30.71452141,31.01831055,0.30378914,0.989073331,L,32.616436,1.59812545,5.152200174,W,31.1919136,-1.4245224,-4.367498644,L,27.85431671,-3.33759689,-10.7001992,L,22.66279984,-5.19151687,-18.63810527,L
MV Miss Susan/MV Summer Wind,"United States, Texas, Houston Ship Channel",2014-03-22 - 2014-03-22,546,546,Kirby Corporation,KEX,,105.1900024,102.7099991,-2.4800033,-2.357641642,L,102.0599976,-0.6500015,-0.632851237,L,121.6699982,19.6100006,19.21418877,W,74.79000092,-46.87999728,-38.53044955,L,61.40000153,-13.38999939,-17.90346199,L
