Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes,Day Prior,Day After,1 Month,6 Months,1 Year,2 Years
Norilsk diesel fuel spill,"Russia, Norilsk, Krasnoyarsk Krai",2020-05-29 - 2020-05-29,"17,500","17,500",MMC NORILSK NICKEL PJSC,NILSY,diesel spill,31.60000038146973,32.150001525878906,27.209999084472656,,,
Keystone Pipeline 2019 spill,"United States, Walsh County, North Dakota",2019-10-29 - 2019-10-29,"1,240","1,240",TC Energy Corporation,TRP,,48.23651123046875,41.483734130859375,48.31240463256836,44.52269744873047,44.52269744873047,
Guarello Island iron ore export terminal diesel spill,"Chile, Guarello Island, Magallanes Region",2019-07-27 - 2019-07-27,35.4,35.4,CAP SA,CAP.SN,,7189.3603515625,7125.345703125,7125.345703125,7125.345703125,5761.3369140625,
SeaRose FPSO production ship spill,"Canada, St. John's, Newfoundland and Labrador",2018-11-16 - 2018-11-16,219,219,HUSKY ENERGY INC.,HSE.TO,,16.16810417175293,15.280444145202635,13.464090347290039,13.464090347290039,9.069193840026855,
Keystone Pipeline 2017 spill,"United States, Marshall County, South Dakota",2017-11-16 - 2017-11-16,"1,322","1,322",TC Energy Corporation,TRP,,40.63747787475586,48.79618835449219,39.61494445800781,39.61494445800781,39.61494445800781,48.79618835449219
East River insulating oil spill,"United States, New York",2017-05-07 - 2017-05-07,97,101,"Consolidated Edison, Inc.",ED,,70.37728118896484,70.37728118896484,70.37728118896484,70.37728118896484,70.37728118896484,70.37728118896484
"BP Clair production platform, North Sea","United Kingdom, Shetland, Clair platform",2016-10-02 - 2016-10-02,105,105,BP p.l.c.,BP,,27.173248291015625,27.173248291015625,27.173248291015625,27.173248291015625,27.173248291015625,27.173248291015625
North Battleford pipeline spill,"Canada, Saskatchewan, North Battleford",2016-07-21 - 2016-07-21,170,210,HUSKY ENERGY INC.,HSE.TO,,13.78944206237793,14.352096557617188,15.200541496276855,15.200541496276855,15.200541496276855,18.568315505981445
ConocoPhillips Canada pipeline spill,"Canada, Alberta, Grande Cache",2016-06-09 - 2016-06-09,323,323,ConocoPhillips,COP,,42.40163803100586,39.74093246459961,37.901649475097656,37.901649475097656,37.901649475097656,65.73927307128906
2016 Union Pacific oil train fire,"United States, Oregon, Mosier",2016-06-03 - 2016-06-03,152,152,Union Pacific Corporation,UNP,,77.03425598144531,79.07369995117188,79.35594940185547,79.35594940185547,102.65386962890624,136.11398315429688
Denbury Resources Bowman County Oil SPill,"United States, North Dakota Bowman County",2016-05-18 - 2016-05-18,44,44,Denbury Resources,DNR,,4.230000019073486,4.0,4.230000019073486,2.9200000762939453,1.7100000381469729,4.130000114440918
"Shell Gulf of Mexico oil spill, Brutus offshore platform","United States, Gulf of Mexico, near Louisiana",2016-05-12 - 2016-05-12,316,316,Royal Dutch Shell PLC Royal Dut,RDS-A,"RDS-B based in UK, so A series utilized",38.26762008666992,37.54158401489258,38.97321701049805,38.97321701049805,38.97321701049805,63.35646438598633
Keystone Pipeline 2016 spill,"United States, Menno, South Dakota",2016-04-02 - 2016-04-02,55,55,TC Energy Corporation,TRP,,28.51117515563965,28.301912307739254,28.301912307739254,28.301912307739254,36.83667755126953,36.83667755126953
Refugio oil spill,"United States, California, near Refugio State Beach",2015-05-19 - 2015-05-19,330,330,"Plains All American Pipeline, L",PAA,,31.8547420501709,23.749500274658203,23.749500274658203,17.937786102294922,17.937786102294922,17.937786102294922
Black Sea oil pipeline spill,"Russia, Tuapse, near Black Sea",2014-12-24 - 2014-12-24,unknown,unknown,TRANSNEFT PJSC,TRNFP.ME,,95134.59375,112900.28125,112900.28125,112900.28125,112900.28125,112900.28125
Mid-Valley Pipeline,"United States, Louisiana, Mooringsport",2014-10-13 - 2014-10-13,546,546,Sunoco LP,SUN,,24.630544662475586,24.630544662475586,24.630544662475586,27.11197280883789,27.11197280883789,27.11197280883789
Lake Michigan oil spill,"United States, Indiana, Whiting refinery",2014-03-24 - 2014-03-24,2,5,BP p.l.c.,BP,,30.71452140808105,30.71452140808105,30.71452140808105,31.191913604736328,31.191913604736328,31.191913604736328
MV Miss Susan/MV Summer Wind,"United States, Texas, Houston Ship Channel",2014-03-22 - 2014-03-22,546,546,Kirby Corporation,KEX,,105.19000244140624,102.70999908447266,102.70999908447266,102.70999908447266,74.79000091552734,74.79000091552734
Rayong oil spill,"Thailand, Rayong/Ko Samet, Gulf of Thailand",2013-07-27 - 2013-07-27,43,163,PTT GLOBAL CHEMICAL PUBLIC COMP,PTTGC.BK,,53.37733459472656,52.83634948730469,52.83634948730469,52.83634948730469,50.73904418945313,50.73904418945313
Cushing storage terminal,"United States, Oklahoma, Cushing",2013-05-18 - 2013-05-18,340,340,Enbridge Energy Partners,EEP,,18.13625907897949,18.040014266967773,18.040014266967773,18.040014266967773,19.423110961914066,19.423110961914066
Mayflower,"United States, Arkansas, Mayflower",2013-03-30 - 2013-03-30,680,950,Exxon Mobil Corporation,XOM,,67.10940551757811,67.60093688964844,67.60093688964844,67.60093688964844,74.78450012207031,74.78450012207031
Magnolia refinery,"United States, Arkansas, Magnolia",2013-03-09 - 2013-03-09,680,760,"Delek Logistics Partners, L.P.",DKL,,15.523780822753904,15.63576602935791,15.63576602935791,15.63576602935791,18.976858139038086,18.976858139038086
Arthur Kill storage tank diesel spill (Hurricane Sandy),"United States, New Jersey, Sewaren",2012-10-29 - 2012-10-29,"1,090","1,130",Exxon Mobil Corporation,XOM,,66.64352416992189,67.04802703857422,67.04802703857422,65.69441223144531,65.69441223144531,65.69441223144531
