Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,49.29999923706055,49.29999923706055,49.29999923706055,49.29999923706055,100,0,0
2000-01-04,47.79999923706055,47.79999923706055,47.79999923706055,47.79999923706055,0,0,0
2000-01-05,38.0,38.0,38.0,38.0,0,0,0
2000-01-06,36.5,36.5,36.5,36.5,0,0,0
2000-01-07,37.5,37.5,36.400001525878906,37.0,900,0,0
2000-01-10,40.0,40.0,40.0,40.0,85,0,0
2000-01-11,37.70000076293945,38.70000076293945,37.70000076293945,38.70000076293945,50,0,0
2000-01-12,38.099998474121094,38.099998474121094,37.5,37.5,500,0,0
2000-01-13,40.0,40.0,40.0,40.0,100,0,0
2000-01-14,38.5,38.5,38.0,38.0,300,0,0
2000-01-18,39.349998474121094,39.349998474121094,39.349998474121094,39.349998474121094,0,0,0
2000-01-19,40.25,41.0,40.25,41.0,60,0,0
2000-01-20,41.79999923706055,41.79999923706055,41.79999923706055,41.79999923706055,0,0,0
2000-01-21,46.0,46.0,46.0,46.0,300,0,0
2000-01-24,54.0,54.0,54.0,54.0,40,0,0
2000-01-25,48.79999923706055,48.79999923706055,48.79999923706055,48.79999923706055,0,0,0
2000-01-26,48.79999923706055,48.79999923706055,48.79999923706055,48.79999923706055,0,0,0
2000-01-27,48.0,48.0,48.0,48.0,0,0,0
2000-01-28,45.099998474121094,45.099998474121094,45.099998474121094,45.099998474121094,80,0,0
2000-01-31,43.0,43.0,43.0,43.0,0,0,0
2000-02-01,43.0,43.0,43.0,43.0,50,0,0
2000-02-02,41.099998474121094,41.099998474121094,41.099998474121094,41.099998474121094,0,0,0
2000-02-03,42.150001525878906,42.150001525878906,42.150001525878906,42.150001525878906,0,0,0
2000-02-04,42.5,44.0,42.5,44.0,100,0,0
2000-02-07,45.400001525878906,45.400001525878906,45.400001525878906,45.400001525878906,200,0,0
2000-02-08,46.0,46.0,46.0,46.0,200,0,0
2000-02-09,44.5,44.5,44.5,44.5,0,0,0
2000-02-10,44.5,44.5,44.5,44.5,0,0,0
2000-02-11,46.0,46.29999923706055,46.0,46.29999923706055,0,0,0
2000-02-14,45.5,46.0,45.5,46.0,27,0,0
2000-02-15,46.0,46.0,46.0,46.0,100,0,0
2000-02-16,46.70000076293945,46.70000076293945,46.70000076293945,46.70000076293945,0,0,0
2000-02-17,49.0,49.0,49.0,49.0,0,0,0
2000-02-18,51.900001525878906,51.900001525878906,51.900001525878906,51.900001525878906,38,0,0
2000-02-22,51.0,51.0,50.5,50.5,100,0,0
2000-02-23,45.25,46.0,45.25,46.0,0,0,0
2000-02-24,47.25,48.0,47.25,48.0,0,0,0
2000-02-25,47.5,47.5,47.5,47.5,0,0,0
2000-02-28,49.0,49.0,49.0,49.0,50,0,0
2000-02-29,50.0,50.0,50.0,50.0,0,0,0
2000-03-01,50.0,50.0,50.0,50.0,0,0,0
2000-03-02,52.5,52.5,51.5,51.5,62,0,0
2000-03-03,53.70000076293945,53.70000076293945,53.70000076293945,53.70000076293945,0,0,0
2000-03-06,60.0,60.5,60.0,60.5,200,0,0
2000-03-07,66.0,66.0,64.5,64.5,100,0,0
2000-03-08,65.0,65.0,64.0,64.0,100,0,0
2000-03-09,62.0,62.0,60.0,60.0,100,0,0
2000-03-10,62.150001525878906,64.1500015258789,62.150001525878906,62.5,60,0,0
2000-03-13,61.29999923706055,61.29999923706055,61.29999923706055,61.29999923706055,0,0,0
2000-03-14,61.79999923706055,61.79999923706055,61.79999923706055,61.79999923706055,0,0,0
2000-03-15,60.5,60.5,60.5,60.5,0,0,0
2000-03-16,60.0,60.75,60.0,60.75,100,0,0
2000-03-17,58.5,58.5,58.5,58.5,0,0,0
2000-03-20,59.599998474121094,59.599998474121094,59.599998474121094,59.599998474121094,0,0,0
2000-03-21,58.0,58.0,58.0,58.0,0,0,0
2000-03-22,60.5,60.5,60.5,60.5,0,0,0
2000-03-23,63.5,63.5,59.5,59.5,100,0,0
2000-03-24,63.0,63.5,63.0,63.5,40,0,0
2000-03-27,62.0,63.0,62.0,63.0,0,0,0
2000-03-28,65.0,66.0,65.0,65.0,25,0,0
2000-03-29,64.0,64.0,64.0,64.0,0,0,0
2000-03-30,64.0,64.0,63.0,63.0,0,0,0
2000-03-31,63.20000076293945,63.20000076293945,61.5,61.5,0,0,0
2000-04-03,62.5,62.5,60.0,60.0,15,0,0
2000-04-04,60.0,60.0,55.0,55.0,47,0,0
2000-04-05,55.5,55.5,55.0,55.0,100,0,0
2000-04-06,55.0,55.0,55.0,55.0,0,0,0
2000-04-07,60.0,60.0,59.5,59.5,0,0,0
2000-04-10,62.29999923706055,62.29999923706055,62.29999923706055,62.29999923706055,0,0,0
2000-04-11,56.70000076293945,56.70000076293945,56.70000076293945,56.70000076293945,0,0,0
2000-04-12,56.0,56.0,56.0,56.0,0,0,0
2000-04-13,54.0,54.0,54.0,54.0,0,0,0
2000-04-14,50.599998474121094,50.599998474121094,49.0,49.0,0,0,0
2000-04-17,43.5,47.0,43.5,46.5,40,0,0
2000-04-18,47.0,51.0,47.0,51.0,95,0,0
2000-04-19,52.0,55.0,52.0,55.0,200,0,0
2000-04-20,54.5,54.5,54.5,54.5,100,0,0
2000-04-24,54.5,54.5,54.5,54.5,0,0,0
2000-04-25,37.5,39.0,37.5,39.0,100,0,0
2000-04-26,38.5,38.5,38.5,38.5,30,0,0
2000-04-27,31.5,35.0,31.5,35.0,200,0,0
2000-04-28,43.5,43.5,43.29999923706055,43.29999923706055,100,0,0
2000-05-01,43.29999923706055,43.29999923706055,43.29999923706055,43.29999923706055,0,0,0
2000-05-02,45.0,45.0,45.0,45.0,0,0,0
2000-05-03,39.0,39.0,39.0,39.0,0,0,0
2000-05-04,44.0,46.0,44.0,46.0,1700,0,0
2000-05-05,45.0,46.5,45.0,46.5,50,0,0
2000-05-08,50.20000076293945,53.0,49.20000076293945,53.0,100,0,0
2000-05-09,53.0,53.0,53.0,53.0,0,0,0
2000-05-10,47.70000076293945,48.5,46.0,46.0,300,0,0
2000-05-11,45.5,45.5,45.5,45.5,0,0,0
2000-05-12,48.29999923706055,49.5,48.29999923706055,49.5,0,0,0
2000-05-15,46.0,46.0,46.0,46.0,100,0,0
2000-05-16,46.70000076293945,48.0,46.70000076293945,48.0,500,0,0
2000-05-17,49.400001525878906,49.400001525878906,49.400001525878906,49.400001525878906,0,0,0
2000-05-18,49.75,49.75,49.75,49.75,100,0,0
2000-05-19,45.0,46.0,45.0,45.0,200,0,0
2000-05-22,45.599998474121094,45.599998474121094,45.599998474121094,45.599998474121094,0,0,0
2000-05-23,44.099998474121094,44.099998474121094,44.099998474121094,44.099998474121094,0,0,0
2000-05-24,42.75,42.75,42.75,42.75,0,0,0
2000-05-25,46.20000076293945,46.20000076293945,46.20000076293945,46.20000076293945,0,0,0
2000-05-26,39.25,39.25,39.0,39.0,90,0,0
2000-05-30,39.79999923706055,39.79999923706055,39.79999923706055,39.79999923706055,0,0,0
2000-05-31,42.0,43.0,42.0,42.5,200,0,0
2000-06-01,41.150001525878906,41.150001525878906,41.150001525878906,41.150001525878906,0,0,0
2000-06-02,46.70000076293945,46.70000076293945,46.70000076293945,46.70000076293945,0,0,0
2000-06-05,51.400001525878906,51.400001525878906,51.400001525878906,51.400001525878906,100,0,0
2000-06-06,51.5,52.900001525878906,51.5,52.900001525878906,100,0,0
