Spill,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes,Day Prior,Day After,1 Day Change,1 Day % Change,1 Month,1 Month Change,1 Month % Change,6 Months,6 Months Change,6 Months % Change,1 Year,1 Year Change,1 Year % Change,2 Years,2 Years Change,2 Years % Change
Norilsk diesel fuel spill,"Russia, Norilsk, Krasnoyarsk Krai",2020-05-29 - 2020-05-29,17500,17500,MMC NORILSK NICKEL PJSC,NILSY,diesel spill,31.60000038,32.15000153,0.55,1.74,27.20999908,-4.94,-15.37,,,,,,,,,
Keystone Pipeline 2019 spill,"United States, Walsh County, North Dakota",2019-10-29 - 2019-10-29,1240,1240,TC Energy Corporation,TRP,,48.23651123,47.74323654,-0.49,-1.02,48.31240463,0.57,1.19,44.52269745,-3.79,-7.84,39.66999817,-4.85,-10.9,,,
Guarello Island iron ore export terminal diesel spill,"Chile, Guarello Island, Magallanes Region",2019-07-27 - 2019-07-27,35.4,35.4,CAP SA,CAP.SN,,7189.360352,7125.345703,-64.01,-0.89,5485.580566,-1639.77,-23.01,5121.188477,-364.39,-6.64,5761.336914,640.15,12.5,,,
SeaRose FPSO production ship spill,"Canada, St. John's, Newfoundland and Labrador",2018-11-16 - 2018-11-16,219,219,HUSKY ENERGY INC.,HSE.TO,,16.16810417,15.28044415,-0.89,-5.49,13.46409035,-1.82,-11.89,12.54905796,-0.92,-6.8,9.06919384,-3.48,-27.73,,,
Keystone Pipeline 2017 spill,"United States, Marshall County, South Dakota",2017-11-16 - 2017-11-16,1322,1322,TC Energy Corporation,TRP,,40.63747787,40.91785049,0.28,0.69,39.61494446,-1.3,-3.18,36.35317993,-3.26,-8.23,36.00680923,-0.35,-0.95,48.79618835,12.79,35.52
East River insulating oil spill,"United States, New York",2017-05-07 - 2017-05-07,97,101,"Consolidated Edison, Inc.",ED,,70.37728119,69.49547577,-0.88,-1.25,74.50382996,5.01,7.21,77.42559814,2.92,3.92,69.55625916,-7.87,-10.16,79.4627533,9.91,14.24
"BP Clair production platform, North Sea","United Kingdom, Shetland, Clair platform",2016-10-02 - 2016-10-02,105,105,BP p.l.c.,BP,,27.17324829,27.57512856,0.4,1.48,26.28447723,-1.29,-4.68,27.53701019,1.25,4.77,32.04013062,4.5,16.35,41.15898132,9.12,28.46
North Battleford pipeline spill,"Canada, Saskatchewan, North Battleford",2016-07-21 - 2016-07-21,170,210,HUSKY ENERGY INC.,HSE.TO,,13.78944206,13.95913219,0.17,1.23,15.2005415,1.24,8.89,14.26278687,-0.94,-6.17,12.61055374,-1.65,-11.58,18.56831551,5.96,47.24
ConocoPhillips Canada pipeline spill,"Canada, Alberta, Grande Cache",2016-06-09 - 2016-06-09,323,323,ConocoPhillips,COP,,42.40163803,39.17844009,-3.22,-7.6,37.90164948,-1.28,-3.26,45.07926941,7.18,18.94,41.75642014,-3.32,-7.37,65.73927307,23.98,57.44
2016 Union Pacific oil train fire,"United States, Oregon, Mosier",2016-06-03 - 2016-06-03,152,152,Union Pacific Corporation,UNP,,77.03425598,79.07369995,2.04,2.65,79.3559494,0.28,0.36,95.24459839,15.89,20.02,102.6538696,7.41,7.78,136.1139832,33.46,32.6
